កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
សំយុងចិត្ត	សំយុង|ចិត្ត	ស・ំ・យ・ុ・ង・ច・ិ・ត・្・ត
សំយុត្តស្រៈ	សំយុត្ត|ស្រៈ	ស・ំ・យ・ុ・ត・្・ត・ស・្・រ・ៈ
សំសេទជសត្ត	សំសេទ|ជសត្ត	ស・ំ・ស・េ・ទ・ជ・ស・ត・្・ត
ស្កាំចិត្ត	ស្កាំ|ចិត្ត	ស・្・ក・ា・ំ・ច・ិ・ត・្・ត
ស្ងប់ចិត្ត	ស្ងប់|ចិត្ត	ស・្・ង・ប・់・ច・ិ・ត・្・ត
ស្ងួនចិត្ត	ស្ងួន|ចិត្ត	ស・្・ង・ួ・ន・ច・ិ・ត・្・ត
ស្ដារចិត្ត	ស្ដារ|ចិត្ត	ស・្・ដ・ា・រ・ច・ិ・ត・្・ត
ស្ថិរចិត្ត	ស្ថិរ|ចិត្ត	ស・្・ថ・ិ・រ・ច・ិ・ត・្・ត
ស្ទាបចិត្តមើល	ស្ទាប|ចិត្ត|មើល	ស・្・ទ・ា・ប・ច・ិ・ត・្・ត・ម・ើ・ល
ស្ទើរចិត្ត	ស្ទើរ|ចិត្ត	ស・្・ទ・ើ・រ・ច・ិ・ត・្・ត
ស្នាមចិត្ត	ស្នាម|ចិត្ត	ស・្・ន・ា・ម・ច・ិ・ត・្・ត
ស្នឹមចិត្ត	ស្នឹម|ចិត្ត	ស・្・ន・ឹ・ម・ច・ិ・ត・្・ត
ស្ម័គ្រចិត្ត	ស្ម័គ្រ|ចិត្ត	ស・្・ម・័・គ・្・រ・ច・ិ・ត・្・ត
ស្រណុកចិត្ត	ស្រណុក|ចិត្ត	ស・្・រ・ណ・ុ・ក・ច・ិ・ត・្・ត
ស្រពន់ចិត្ត	ស្រពន់|ចិត្ត	ស・្・រ・ព・ន・់・ច・ិ・ត・្・ត
ស្រមណប្រតិបត្តិ	ស្រមណ|ប្រតិបត្តិ	ស・្・រ・ម・ណ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
ស្រមុតចិត្ត	ស្រមុត|ចិត្ត	ស・្・រ・ម・ុ・ត・ច・ិ・ត・្・ត
ស្រយង់ចិត្ត	ស្រយង់|ចិត្ត	ស・្・រ・យ・ង・់・ច・ិ・ត・្・ត
ស្រវឹងចិត្ត	ស្រវឹង|ចិត្ត	ស・្・រ・វ・ឹ・ង・ច・ិ・ត・្・ត
ស្រវឹងសម្បត្តិ	ស្រវឹង|សម្បត្តិ	ស・្・រ・វ・ឹ・ង・ស・ម・្・ប・ត・្・ត・ិ
ស្រឡាញ់ខ្លួនត្រូវស្ងួនចំណី ស្រឡាញ់ស្រីត្រូវថ្នមចិត្ត	ស្រឡាញ់|ខ្លួន|ត្រូវ|ស្ងួន|ចំណី| |ស្រឡាញ់|ស្រី|ត្រូវ|ថ្នម|ចិត្ត	ស・្・រ・ឡ・ា・ញ・់・ខ・្・ល・ួ・ន・ត・្・រ・ូ・វ・ស・្・ង・ួ・ន・ច・ំ・ណ・ី・ ・ស・្・រ・ឡ・ា・ញ・់・ស・្・រ・ី・ត・្・រ・ូ・វ・ថ・្・ន・ម・ច・ិ・ត・្・ត
ស្លាប់ចិត្ត	ស្លាប់|ចិត្ត	ស・្・ល・ា・ប・់・ច・ិ・ត・្・ត
ស្វ័យប្រវត្ត	ស្វ័យ|ប្រវត្ត	ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត
ស្វ័យប្រវត្តិ	ស្វ័យ|ប្រវត្តិ	ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត・ិ
ស្វ័យប្រវត្តិកម្ម	ស្វ័យ|ប្រវត្តិ|កម្ម	ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត・ិ・ក・ម・្・ម
ស្អាងចិត្តជាថ្មី	ស្អាង|ចិត្ត|ជា|ថ្មី	ស・្・អ・ា・ង・ច・ិ・ត・្・ត・ជ・ា・ថ・្・ម・ី
ហដ្ឋចិត្ត	ហដ្ឋ|ចិត្ត	ហ・ដ・្・ឋ・ច・ិ・ត・្・ត
ហយោត្តម	ហយោត្តម	ហ・យ・ោ・ត・្・ត・ម
ហសិតុប្បាទចិត្ត	ហសិតុប្បាទ|ចិត្ត	ហ・ស・ិ・ត・ុ・ប・្・ប・ា・ទ・ច・ិ・ត・្・ត
ហាសចិត្ត	ហាស|ចិត្ត	ហ・ា・ស・ច・ិ・ត・្・ត
ហិរិឱត្តប្បៈ	ហិរិឱ|ត្ត|ប្បៈ	ហ・ិ・រ・ិ・ឱ・ត・្・ត・ប・្・ប・ៈ
ហិរោត្តប្បៈ	ហិរោត្ត|ប្បៈ	ហ・ិ・រ・ោ・ត・្・ត・ប・្・ប・ៈ
ហួសចិត្ត	ហួស|ចិត្ត	ហ・ួ・ស・ច・ិ・ត・្・ត
ឡើងចិត្ត	ឡើង|ចិត្ត	ឡ・ើ・ង・ច・ិ・ត・្・ត
ឡើងចិត្តឡើងចាង	ឡើង|ចិត្ត|ឡើង|ចាង	ឡ・ើ・ង・ច・ិ・ត・្・ត・ឡ・ើ・ង・ច・ា・ង
ឡើងទឹកចិត្ត	ឡើង|ទឹក|ចិត្ត	ឡ・ើ・ង・ទ・ឹ・ក・ច・ិ・ត・្・ត
អកុសលចិត្ត	អកុសល|ចិត្ត	អ・ក・ុ・ស・ល・ច・ិ・ត・្・ត
អក្ខធុត្តី	អក្ខ|ធុត្តី	អ・ក・្・ខ・ធ・ុ・ត・្・ត・ី
អក្ខធុត្តុម្មត្តកៈ	អក្ខ|ធុត្តុម្មត្តកៈ	អ・ក・្・ខ・ធ・ុ・ត・្・ត・ុ・ម・្・ម・ត・្・ត・ក・ៈ
អក្ខធុត្តុម្មត្តកៈ	អក្ខ|ធុត្តុម្មត្តកៈ	អ・ក・្・ខ・ធ・ុ・ត・្・ត・ុ・ម・្・ម・ត・្・ត・ក・ៈ
អក្ខរវិបត្តិ	អក្ខរ|វិបត្តិ	អ・ក・្・ខ・រ・វ・ិ・ប・ត・្・ត・ិ
អក្ខរសម្បត្តិ	អក្ខរ|សម្បត្តិ	អ・ក・្・ខ・រ・ស・ម・្・ប・ត・្・ត・ិ
អគាធចិត្ត	អគាធ|ចិត្ត	អ・គ・ា・ធ・ច・ិ・ត・្・ត
អង្កុញចិត្ត	អង្កុញ|ចិត្ត	អ・ង・្・ក・ុ・ញ・ច・ិ・ត・្・ត
អង្គនីតិបញ្ញត្តិ	អង្គ|នីតិ|បញ្ញត្តិ	អ・ង・្・គ・ន・ី・ត・ិ・ប・ញ・្・ញ・ត・្・ត・ិ
អង្គនីតិប្រតិបត្តិ	អង្គ|នីតិ|ប្រតិបត្តិ	អ・ង・្・គ・ន・ី・ត・ិ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
អង្គបញ្ញត្តិ	អង្គ|បញ្ញត្តិ	អ・ង・្・គ・ប・ញ・្・ញ・ត・្・ត・ិ
អង្គរវត្ត	អង្គរ|វត្ត	អ・ង・្・គ・រ・វ・ត・្・ត
អង្វរចិត្ត	អង្វរ|ចិត្ត	អ・ង・្・វ・រ・ច・ិ・ត・្・ត
អចលចិត្ត	អចលចិត្ត	អ・ច・ល・ច・ិ・ត・្・ត
អចិត្ត	អចិត្ត	អ・ច・ិ・ត・្・ត
អចិត្ត!	អចិត្ត|!	អ・ច・ិ・ត・្・ត・!
អចិត្តកកម្ម	អចិត្ត|កកម្ម	អ・ច・ិ・ត・្・ត・ក・ក・ម・្・ម
អចិត្តកទោស	អចិត្ត|កទោស	អ・ច・ិ・ត・្・ត・ក・ទ・ោ・ស
អចិត្តកាបត្តិ	អចិត្ត|កាបត្តិ	អ・ច・ិ・ត・្・ត・ក・ា・ប・ត・្・ត・ិ
អចិត្តកាបត្តិ	អចិត្ត|កាបត្តិ	អ・ច・ិ・ត・្・ត・ក・ា・ប・ត・្・ត・ិ
អចិត្តកៈ	អចិត្ត|កៈ	អ・ច・ិ・ត・្・ត・ក・ៈ
អចិត្តក—	អចិត្ត|ក—	អ・ច・ិ・ត・្・ត・ក・—
អចិត្តជន	អចិត្ត|ជន	អ・ច・ិ・ត・្・ត・ជ・ន
អចិត្តបុគ្គល	អចិត្ត|បុគ្គល	អ・ច・ិ・ត・្・ត・ប・ុ・គ・្・គ・ល
អចិត្តា	អចិត្តា	អ・ច・ិ・ត・្・ត・ា
អចិត្តិភាព	អចិត្តិភាព	អ・ច・ិ・ត・្・ត・ិ・ភ・ា・ព
អច្ឆិទ្ទវុត្តិនី	អច្ឆិទ្ទ|វុត្តិ|នី	អ・ច・្・ឆ・ិ・ទ・្・ទ・វ・ុ・ត・្・ត・ិ・ន・ី
អច្ឆិទ្ទវុត្តី	អច្ឆិទ្ទ|វុត្តី	អ・ច・្・ឆ・ិ・ទ・្・ទ・វ・ុ・ត・្・ត・ី
អច្ឆិទ្រព្រឹត្តិ	អច្ឆិទ្រ|ព្រឹត្តិ	អ・ច・្・ឆ・ិ・ទ・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
អជ្ឈត្តសន្តាន	អជ្ឈត្ត|សន្តាន	អ・ជ・្・ឈ・ត・្・ត・ស・ន・្・ត・ា・ន
អជ្ឈត្តិកទាន	អជ្ឈត្តិក|ទាន	អ・ជ・្・ឈ・ត・្・ត・ិ・ក・ទ・ា・ន
អជ្ឈុបាតកសត្ត	អជ្ឈុបាតក|សត្ត	អ・ជ・្・ឈ・ុ・ប・ា・ត・ក・ស・ត・្・ត
អជ្ឈុប្បាតកសត្ត	អជ្ឈុប្បាត|ក|សត្ត	អ・ជ・្・ឈ・ុ・ប・្・ប・ា・ត・ក・ស・ត・្・ត
អញ្ញបដិបត្តិ	អញ្ញ|បដិបត្តិ	អ・ញ・្・ញ・ប・ដ・ិ・ប・ត・្・ត・ិ
អញ្ញប្បដិបត្តិ	អញ្ញប្បដិបត្តិ	អ・ញ・្・ញ・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
អដ្ឋិចម្មសត្ត	អដ្ឋិច|ម្ម|សត្ត	អ・ដ・្・ឋ・ិ・ច・ម・្・ម・ស・ត・្・ត
អឌ្ឍរត្ត	អឌ្ឍរត្ត	អ・ឌ・្・ឍ・រ・ត・្・ត
អឌ្ឍរត្តិ	អឌ្ឍ|រត្តិ	អ・ឌ・្・ឍ・រ・ត・្・ត・ិ
អឌ្ឍសត្តាហៈ	អឌ្ឍ|សត្តាហៈ	អ・ឌ・្・ឍ・ស・ត・្・ត・ា・ហ・ៈ
អណ្ដែតចិត្ត	អណ្ដែត|ចិត្ត	អ・ណ・្・ដ・ែ・ត・ច・ិ・ត・្・ត
អតិជាតបុត្ត	អតិជាត|បុត្ត	អ・ត・ិ・ជ・ា・ត・ប・ុ・ត・្・ត
អតិថិវត្ត	អតិថិវត្ត	អ・ត・ិ・ថ・ិ・វ・ត・្・ត
អតិរេកភត្ត	អតិរេក|ភត្ត	អ・ត・ិ・រ・េ・ក・ភ・ត・្・ត
អតេកិច្ឆាបត្តិ	អតេកិច្ឆា|បត្តិ	អ・ត・េ・ក・ិ・ច・្・ឆ・ា・ប・ត・្・ត・ិ
អតេតិច្ឆាបត្តិ	អតេតិច្ឆា|បត្តិ	អ・ត・េ・ត・ិ・ច・្・ឆ・ា・ប・ត・្・ត・ិ
អត្ត	អត្ត	អ・ត・្・ត
អត្តកិច្ច	អត្ត|កិច្ច	អ・ត・្・ត・ក・ិ・ច・្・ច
អត្តកិលមកម្ម	អត្ត|កិល|មកម្ម	អ・ត・្・ត・ក・ិ・ល・ម・ក・ម・្・ម
អត្តកិលមថានុយោគ	អត្ត|កិលម|ថា|នុយោគ	អ・ត・្・ត・ក・ិ・ល・ម・ថ・ា・ន・ុ・យ・ោ・គ
អត្តខាត់	អត្តខាត់	អ・ត・្・ត・ខ・ា・ត・់
អត្តឃាត	អត្ត|ឃាត	អ・ត・្・ត・ឃ・ា・ត
អត្តឃាតកម្ម	អត្ត|ឃាត|កម្ម	អ・ត・្・ត・ឃ・ា・ត・ក・ម・្・ម
អត្តទត្ថ	អត្ត|ទត្ថ	អ・ត・្・ត・ទ・ត・្・ថ
អត្តទត្ថនិយម	អត្ត|ទត្ថ|និយម	អ・ត・្・ត・ទ・ត・្・ថ・ន・ិ・យ・ម
អត្តទត្ថបុគ្គល	អត្ត|ទត្ថ|បុគ្គល	អ・ត・្・ត・ទ・ត・្・ថ・ប・ុ・គ・្・គ・ល
អត្តទត្ថភាព	អត្ត|ទត្ថ|ភាព	អ・ត・្・ត・ទ・ត・្・ថ・ភ・ា・ព
អត្តទន្ត	អត្ត|ទន្ត	អ・ត・្・ត・ទ・ន・្・ត
អត្តទន្តី	អត្ត|ទន្តី	អ・ត・្・ត・ទ・ន・្・ត・ី
អត្តនោបទ	អត្ត|នោបទ	អ・ត・្・ត・ន・ោ・ប・ទ
អត្តនោមតិភាព	អត្ត|នោម|តិភាព	អ・ត・្・ត・ន・ោ・ម・ត・ិ・ភ・ា・ព
អត្តនោមត្យាធិប្បាយ	អត្ត|នោម|ត្យាធិប្បាយ	អ・ត・្・ត・ន・ោ・ម・ត・្・យ・ា・ធ・ិ・ប・្・ប・ា・យ
អត្តនោម័តិ	អត្ត|នោម័តិ	អ・ត・្・ត・ន・ោ・ម・័・ត・ិ
អត្តបរិហារ	អត្ត|បរិហារ	អ・ត・្・ត・ប・រ・ិ・ហ・ា・រ
អត្តប្រយោគ	អត្ត|ប្រយោគ	អ・ត・្・ត・ប・្・រ・យ・ោ・គ
អត្តពលកម្ម	អត្ត|ពលកម្ម	អ・ត・្・ត・ព・ល・ក・ម・្・ម
អត្តពលិក	អត្ត|ពលិក	អ・ត・្・ត・ព・ល・ិ・ក
អត្តពលិកា	អត្ត|ពលិកា	អ・ត・្・ត・ព・ល・ិ・ក・ា
អត្តពិគ្រោះ	អត្ត|ពិគ្រោះ	អ・ត・្・ត・ព・ិ・គ・្・រ・ោ・ះ
អត្តព្យាបាល	អត្ត|ព្យាបាល	អ・ត・្・ត・ព・្・យ・ា・ប・ា・ល
អត្តភាព	អត្ត|ភាព	អ・ត・្・ត・ភ・ា・ព
អត្តលេខ	អត្ត|លេខ	អ・ត・្・ត・ល・េ・ខ
អត្តវិនិបាតកម្ម	អត្ត|វិនិបាត|កម្ម	អ・ត・្・ត・វ・ិ・ន・ិ・ប・ា・ត・ក・ម・្・ម
អត្តសញ្ញាណ	អត្ត|សញ្ញាណ	អ・ត・្・ត・ស・ញ・្・ញ・ា・ណ
អត្តសញ្ញាណជាតិ	អត្ត|សញ្ញាណ|ជាតិ	អ・ត・្・ត・ស・ញ・្・ញ・ា・ណ・ជ・ា・ត・ិ
អត្តសញ្ញាណបត្រ	អត្ត|សញ្ញាណ|បត្រ	អ・ត・្・ត・ស・ញ・្・ញ・ា・ណ・ប・ត・្・រ
